,JANE
hard get word,1.0
get word edgeways,1.0
word edgeways christian,1.0
edgeways christian </eol>,1.0
rule number one,1.0
<eol> three year,1.0
three year ago,1.0
steven rule number,1.0
year ago </eol>,1.0
stay steven rule,1.0
<eol> time time,1.0
time time yes,1.0
time yes course,1.0
yes course </eol>,1.0
<eol> exactly always,1.0
want stay steven,1.0
<eol> want stay,1.0
exactly always </eol>,1.0
<eol> remember seeing,1.0
remember seeing accountant,1.0
darlin </eol> </eol>,1.0
house afterwards alright,1.0
bring back house,1.0
ian done think,1.0
house going restaurant,1.0
<eol> yes might,1.0
yes might might,1.0
might might quite,1.0
might quite right,1.0
quite right </eol>,1.0
<eol> look since,1.0
look since want,1.0
since want coming,1.0
want coming house,1.0
coming house going,1.0
going restaurant </eol>,1.0
<eol> bring back,1.0
restaurant </eol> </eol>,1.0
<eol> want kid,1.0
want kid involved,1.0
explode </eol>,1.0
go saying </eol>,1.0
kid involved </eol>,1.0
involved </eol> </eol>,1.0
<eol> everything turn,1.0
everything turn argument,1.0
turn argument ian,1.0
<eol> leave </eol>,1.0
sometimes </eol> </eol>,1.0
<eol> sorry chelsea,1.0
<eol> sometimes </eol>,1.0
done think done,1.0
<eol> think invited,1.0
<eol> think already,1.0
think invited christian,1.0
invited christian </eol>,1.0
<eol> sort last,1.0
sort last thing,1.0
last thing said,1.0
hang steven </eol>,1.0
thing said morning,1.0
said morning </eol>,1.0
<eol> talking well,1.0
talking well </eol>,1.0
<eol> christian nice,1.0
christian nice absolutely,1.0
<eol> hang steven,1.0
sorry chelsea </eol>,1.0
nice absolutely idea,1.0
absolutely idea done,1.0
idea done </eol>,1.0
<eol> fun ian,1.0
argument ian say,1.0
ian say </eol>,1.0
<eol> <eol> fuss,1.0
want awful lot,1.0
lot fuss please,1.0
fuss please </eol>,1.0
<eol> well know,1.0
well know meal,1.0
<eol> mind cook,1.0
know meal least,1.0
meal least got,1.0
least got present,1.0
got present </eol>,1.0
<eol> <eol> life,1.0
<eol> life going,1.0
life going worth,1.0
going worth living,1.0
worth living mate,1.0
living mate </eol>,1.0
<eol> thank </eol>,1.0
<eol> gonna meet,1.0
gonna meet yeah,1.0
meet yeah </eol>,1.0
<eol> <eol> bring,1.0
hygienic </eol> </eol>,1.0
awful lot fuss,1.0
mean want awful,1.0
<eol> fuss </eol>,1.0
actually mean want,1.0
<eol> let get,1.0
ask go saying,1.0
let get straight,1.0
get straight twenty,1.0
straight twenty fifth,1.0
twenty fifth wedding,1.0
fifth wedding anniversary,1.0
<eol> ask go,1.0
wedding anniversary wife,1.0
anniversary wife say,1.0
cook like </eol>,1.0
wife say fuss,1.0
say fuss believe,1.0
fuss believe woman,1.0
believe woman say,1.0
woman say fuss,1.0
say fuss mean,1.0
mind cook like,1.0
fuss mean fuss,1.0
mean fuss actually,1.0
fuss actually mean,1.0
laugh </eol> </eol>,1.0
hour want public,1.0
fun ian know,1.0
imagine,1.0
look ian big,1.0
ian big deal,1.0
big deal treating,1.0
deal treating contract,1.0
treating contract like,1.0
contract like life,1.0
like life depended,1.0
life depended </eol>,1.0
depended </eol> </eol>,1.0
<eol> <eol> reception,1.0
<eol> reception </eol>,1.0
reception </eol> </eol>,1.0
behind,1.0
<eol> <eol> queen,1.0
poor,1.0
<eol> queen </eol>,1.0
<eol> <eol> basis,1.0
<eol> basis edward,1.0
basis edward taking,1.0
edward taking buckingham,1.0
hat,1.0
wear,1.0
taking buckingham palace,1.0
yeah look ian,1.0
yeah yeah look,1.0
palace </eol> </eol>,1.0
massage </eol> </eol>,1.0
behave becuase paying,1.0
becuase paying dinner,1.0
paying dinner mean,1.0
dinner mean owe,1.0
mean owe anything,1.0
owe anything </eol>,1.0
<eol> new aftershave,1.0
<eol> something,1.0
new aftershave </eol>,1.0
aftershave </eol> </eol>,1.0
<eol> pink floyd,1.0
pink floyd background,1.0
floyd background music,1.0
background music </eol>,1.0
music </eol> </eol>,1.0
<eol> shoulder </eol>,1.0
shoulder </eol> </eol>,1.0
normal,1.0
<eol> right gonna,1.0
right gonna book,1.0
gonna book massage,1.0
book massage </eol>,1.0
top,1.0
buckingham palace </eol>,1.0
<eol> point gonna,1.0
